,T,Tau
263,0.12804714759575433,6.093664972974319e-06
264,0.127921558554195,6.095507970674708e-06
265,0.12779725996816618,6.097546283817288e-06
266,0.12767433455084964,6.099780532308976e-06
267,0.12755286434338722,6.102211108296456e-06
268,0.12743293065301095,6.1048382446195985e-06
269,0.1273146139909354,6.107661941975341e-06
270,0.12719799401030912,6.110682015339272e-06
271,0.12708314944405819,6.113898043667859e-06
272,0.12697015804297013,6.1173094005515075e-06
273,0.12685909651373553,6.120915212667278e-06
274,0.12675004045730304,6.1247143960894426e-06
275,0.12664306430750044,6.128705612349738e-06
276,0.12653824127004668,6.132887290709576e-06
277,0.12643564326194426,6.137257615508352e-06
278,0.12633534085142387,6.141814496900421e-06
279,0.12623740319844787,6.146555646375853e-06
280,0.1261418979959845,6.151478461787879e-06
281,0.12604889504428882,6.079901528841929e-06
282,0.12595844529858494,6.259321879206525e-06
283,0.12587060247269793,6.165709547981818e-06
284,0.12578549534427202,6.190022446989302e-06
285,0.12570313342927036,6.164438549911857e-06
286,0.12562356211235584,6.163079682375297e-06
287,0.12554683490752816,6.186713388396436e-06
288,0.12547301371304725,6.1967735996792494e-06
289,0.12540216725735198,6.2070136710545804e-06
290,0.12533434705758217,6.210821320857282e-06
291,0.125269596226097,6.217627972550233e-06
292,0.12520795510831395,6.2233113428712005e-06
293,0.12514946580013095,6.2305905336505505e-06
294,0.12509417002223738,6.237321548891593e-06
295,0.12504210816503053,6.244687267240022e-06
296,0.12499331796468567,6.251867411107661e-06
297,0.12494783461232499,6.259350410988964e-06
298,0.12490569064476732,6.266794336225089e-06
299,0.12486693627877009,5.9055450874756905e-06
300,0.12483155903857854,6.288979203113232e-06
301,0.12479945820268729,6.522062964732084e-06
302,0.12477088111689945,6.562476912699764e-06
303,0.12474594314695762,6.472175946707936e-06
304,0.12472454948066511,6.338249343466121e-06
305,0.1247065867003206,6.231982737150319e-06
306,0.12469553614338483,-1.5540333187337252e-06
307,0.1246823304661707,1.164837290897338e-05
308,0.12467015915451515,1.2081988140558766e-05
309,0.12466585545086305,9.541786225054629e-06
310,0.12466907297501213,5.471909524385003e-06
311,0.12467514010003797,3.3775888786805683e-06
312,0.12468147036277938,3.3930811638058834e-06
313,0.12468904912771435,4.178598793516127e-06
314,0.12470018067030338,5.423365257304036e-06
315,0.12471617182779883,6.740392801939726e-06
316,0.12473720056215647,7.619627134434066e-06
317,0.12476282332301383,7.829406555383814e-06
318,0.12479233306309924,7.434415945400739e-06
319,0.12482507345799179,6.66051413820851e-06
320,0.1248602460354362,6.43302063566712e-06
321,0.12489754626859571,6.9881621285070205e-06
322,0.12493818926493558,6.12646616503047e-06
